@relation Protein
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute Feature6 real
@attribute Feature7 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature10 real
@attribute Feature11 real
@attribute Feature12 real
@attribute Feature13 real
@attribute Feature14 real
@attribute Feature15 real
@attribute Feature16 real
@attribute Feature17 real
@attribute Feature18 real
@attribute Feature19 real
@attribute Feature20 real
@attribute Feature21 real
@attribute Feature22 real
@attribute Feature23 real
@attribute Feature24 real
@attribute Feature25 real
@attribute Feature26 real
@attribute Feature27 real
@attribute Feature28 real
@attribute Feature29 real
@attribute Feature30 real
@attribute Feature31 real
@attribute Feature32 real
@attribute Feature33 real
@attribute Feature34 real
@attribute Feature35 real
@attribute Feature36 real
@attribute Feature37 real
@attribute Feature38 real
@attribute Feature39 real
@attribute Feature40 real
@attribute Feature41 real
@attribute Feature42 real
@attribute Feature43 real
@attribute Feature44 real
@attribute Feature45 real
@attribute class {0,1}
@data
0.4495416666666665,0.36,0.36,0.61,0.54,0.55,0.6,0.52,0.49,0.51,0.4495416666666665,0.41,0.51,0.48,0.65,0.66,0.63,0.55,0.61,0.55,0.4495416666666665,0.36,0.52,0.61,0.59,0.66,0.63,0.63,0.55,0.59,0.44,0.58,0.76,0.46,0.63,0.58,0.76,0.41,0.6,0.6097472924187727,0.48,0.91,0.87,0.72,0.81,1
0.9673333333333334,0.66,0.57,0.63,0.74,0.77,0.6,0.55,0.51,0.6,0.9767857142857143,0.73,0.6,0.62,0.73,0.62,0.6,0.54,0.55,0.47,0.99,0.85,0.9,0.7,0.78,0.72,0.64,0.67,0.58,0.63,0.56,0.85,0.68,0.58,0.73,0.66,0.65,0.85,0.45,0.6775090252707582,0.53,0.84,0.85,0.89,0.87,1
0.49174999999999996,0.64,0.63,0.47,0.74,0.87,0.94,0.88,0.82,0.73,0.4600833333333334,0.61,0.72,0.64,0.78,0.7,0.73,0.74,0.65,0.73,0.46077489177489184,0.6666666666666666,0.57,0.39,0.54,0.59,0.51,0.54,0.53,0.53,0.79,0.83,0.86,0.79,0.81,0.73,0.53,0.79,0.83,0.7361973525872443,0.66,0.87,0.84,0.86,0.91,1
0.37757777353365596,0.5,0.59,0.64,0.64,0.47,0.55,0.48,0.53,0.48,0.7701999030113783,0.52,0.65,0.67,0.69,0.59,0.61,0.71,0.65,0.69,0.7599642857142856,0.67,0.75,0.65,0.82,0.69,0.71,0.72,0.69,0.7,0.39,0.66,0.67,0.63,0.34,0.3,0.72,0.86,0.7,0.7266305655836343,0.69,0.8,0.85,0.76,0.69,1
0.9508333333333333,0.76,0.73,0.75,0.61,0.47,0.37,0.41,0.35,0.34,0.96,0.76,0.67,0.65,0.59,0.6,0.5,0.35,0.43,0.42,0.9391666666666667,0.64,0.59,0.67,0.63,0.61,0.51,0.39,0.51,0.5,0.15,0.23,0.23,0.27,0.06,0.19,0.37,0.57,0.67,0.6679783393501806,0.37,0.13,0.1,0.18,0.22,1
0.8033333333333332,0.73,0.76,0.57,0.54,0.63,0.55,0.61,0.58,0.63,0.7069444444444445,0.74,0.78,0.39,0.51,0.66,0.6,0.53,0.61,0.68,0.47957142857142854,0.92,0.72,0.55,0.53,0.59,0.65,0.64,0.59,0.68,0.75,0.56,0.74,0.82,0.86,0.83,0.52,0.69,0.41,0.6955210589651022,0.46,0.74,0.66,0.7,0.77,1
0.995,0.64,0.63,0.61,0.65,0.71,0.65,0.66,0.62,0.63,0.995,0.665,0.64,0.52,0.6,0.66,0.73,0.64,0.67,0.66,1.0,0.53,0.46,0.48,0.58,0.66,0.59,0.63,0.67,0.65,0.65,0.73,0.75,0.54,0.53,0.6,0.75,0.78,0.54,0.5707460890493382,0.69,0.76,0.72,0.69,0.77,1
0.12009523809523809,0.4,0.34,0.35,0.49,0.64,0.66,0.61,0.61,0.56,0.3444698773448773,0.48,0.43,0.54,0.57,0.61,0.66,0.64,0.77,0.7,0.059322723028605376,0.42,0.35,0.55,0.5,0.58,0.61,0.66,0.71,0.69,0.86,0.88,0.87,0.93,0.91,0.8,0.82,0.86,0.75,0.8531889290012035,0.83,0.93,0.89,0.87,0.89,1
0.4976666666666666,0.81,0.76,0.83,0.76,0.78,0.69,0.64,0.71,0.64,0.5109999999999999,0.71,0.72,0.73,0.72,0.77,0.73,0.67,0.61,0.57,0.5001666666666665,0.76,0.59,0.63,0.65,0.7,0.72,0.54,0.62,0.59,0.78,0.79,0.69,0.68,0.58,0.84,0.76,0.66,0.74,0.794705174488568,0.79,0.96,0.93,0.97,0.84,1
0.843547619047619,0.59,0.51,0.64,0.55,0.44,0.53,0.59,0.53,0.64,0.7706373626373627,0.63,0.54,0.69,0.6,0.54,0.44,0.52,0.65,0.58,0.9065324675324675,0.73,0.64,0.52,0.54,0.55,0.6,0.66,0.57,0.54,0.57,0.56,0.43,0.44,0.34,0.47,0.77,0.79,0.4,0.425210589651023,0.3,0.81,0.81,0.71,0.57,1
0.9618333333333333,0.53,0.5,0.41,0.53,0.59,0.63,0.65,0.79,0.68,0.9179999999999999,0.55,0.52,0.51,0.63,0.65,0.69,0.65,0.67,0.62,0.9237948717948719,0.5,0.63,0.57,0.65,0.74,0.76,0.72,0.71,0.74,0.73,0.5,0.71,0.72,0.82,0.83,0.68,0.64,0.84,0.8045728038507822,0.6,0.72,0.71,0.66,0.63,1
0.8866666666666667,0.62,0.44,0.67,0.65,0.73,0.7,0.66,0.67,0.74,0.8586392773892775,0.83,0.49,0.41,0.51,0.53,0.48,0.48,0.55,0.5,0.8158333333333333,0.68,0.62,0.63,0.63,0.7,0.69,0.65,0.71,0.68,0.6,0.72,0.6,0.8,0.49,0.6,0.54,0.7,0.63,0.07484957882069795,0.49,0.9,0.9,0.87,0.72,1
0.9562380952380952,0.58,0.55,0.71,0.74,0.7,0.76,0.7,0.76,0.71,0.9776666666666667,0.74,0.71,0.73,0.8,0.81,0.74,0.8,0.73,0.75,0.8213769841269841,0.44,0.69,0.59,0.77,0.63,0.78,0.81,0.71,0.72,0.73,0.76,0.53,0.59,0.62,0.78,0.96,0.92,0.94,0.7264861612515042,0.77,0.79,0.73,0.73,0.66,1
0.49075595238095227,0.87,0.83,0.92,0.87,0.65,0.53,0.65,0.65,0.59,0.4958333333333331,0.66,0.83,0.81,0.81,0.74,0.72,0.79,0.75,0.78,0.3417261904761905,0.6,0.83,0.89,0.8,0.6,0.62,0.74,0.66,0.72,0.63,0.7,0.81,0.53,0.45,0.88,0.88,0.55,0.55,0.8043200962695547,0.8,0.61,0.73,0.6,0.7,1
0.8538571428571429,0.52,0.54,0.62,0.74,0.67,0.8,0.8,0.74,0.68,0.9637142857142856,0.8,0.66,0.75,0.7,0.73,0.73,0.74,0.74,0.78,0.966,0.78,0.73,0.7,0.6,0.56,0.79,0.75,0.67,0.66,0.44,0.48,0.65,0.71,0.7,0.84,0.58,0.63,0.35,0.4929723225030086,0.68,0.73,0.73,0.68,0.64,1
0.5379999999999999,0.76,0.77,0.6,0.65,0.58,0.67,0.64,0.66,0.75,0.5047857142857143,0.74,0.68,0.68,0.53,0.72,0.69,0.7,0.71,0.72,0.5423939393939393,0.82,0.81,0.65,0.67,0.77,0.6,0.73,0.69,0.66,0.83,0.92,0.75,0.83,0.9,0.81,0.92,0.86,0.92,0.9309145607701563,0.85,0.95,0.95,0.98,0.94,1
0.5345,0.77,0.89,0.66,0.87,0.8,0.7,0.72,0.75,0.78,0.7513363858363858,0.715,0.72,0.78,0.63,0.73,0.67,0.72,0.67,0.64,0.5071111111111111,0.83,0.75,0.54,0.67,0.7,0.54,0.6,0.63,0.69,0.89,0.54,0.59,0.73,0.76,0.46,0.86,0.52,0.48,0.7562695547533093,0.77,0.73,0.64,0.78,0.76,1
0.936595238095238,0.55,0.55,0.69,0.6,0.6,0.63,0.53,0.58,0.61,0.9564880952380952,0.77,0.79,0.69,0.59,0.56,0.57,0.55,0.68,0.57,1.0,0.69,0.76,0.7,0.61,0.71,0.65,0.64,0.6,0.59,0.37,0.64,0.32,0.51,0.63,0.46,0.45,0.15,0.61,0.6000722021660652,0.46,0.54,0.41,0.56,0.46,1
