@relation RNUM
@attribute F1 numeric
@attribute F6 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute class {1,2}
@data
74,2,1,1,1,1,1,2
56,2,1,1,1,1,4,1
53,2,3,2,3,3,2,2
65,11,1,1,1,1,4,1
51,2,3,3,2,2,3,2
73,2,1,1,1,1,3,1
58,2,1,1,1,1,4,1
72,2,3,3,3,3,4,2
55,2,1,1,1,1,4,2
73,2,1,1,1,1,2,2
78,2,1,1,1,1,1,1
59,11,1,1,1,1,4,1
73,11,1,1,1,1,4,1
69,2,1,1,1,1,3,2
81,2,3,3,3,1,4,2
58,11,3,2,2,2,4,1
57,2,2,2,1,1,3,1
62,10,1,1,1,1,4,1
64,11,1,1,1,1,4,1
56,2,1,1,1,1,3,1
32,10,1,1,1,1,2,2
52,2,1,1,1,1,4,1
66,2,1,1,1,1,3,2
66,2,1,1,1,1,3,2
78,2,2,2,3,1,4,2
47,2,1,1,1,1,4,1
52,2,3,3,2,2,2,1
55,2,1,1,1,1,3,1
54,2,2,2,2,1,4,1
46,2,1,1,1,1,2,2
56,2,1,1,1,1,4,1
66,2,1,1,1,1,4,1
57,2,1,1,1,1,2,1
80,2,1,1,1,1,4,1
64,2,1,1,1,1,4,2
55,2,3,2,3,3,2,1
61,2,1,1,1,1,4,1
66,2,1,1,1,1,4,1
87,11,1,1,1,1,4,2
58,2,1,1,1,1,4,2
68,2,1,1,1,1,4,1
79,2,1,1,1,1,3,2
67,4,1,1,1,1,2,2
64,2,1,1,1,1,4,2
62,10,1,1,1,1,4,1
68,10,1,1,1,1,2,1
76,2,1,1,1,1,3,1
74,2,1,1,1,1,2,1
84,2,1,1,1,1,2,2
82,10,1,1,1,1,4,1
79,10,1,1,1,1,3,1
47,2,1,1,1,1,4,1
51,2,3,2,3,3,3,1
60,2,3,3,3,3,2,2
87,2,1,1,1,1,4,1
83,11,2,3,1,1,2,1
73,2,1,1,1,1,3,1
72,2,1,1,1,1,2,1
80,10,1,1,1,1,3,2
80,11,1,1,1,1,1,1
45,2,3,3,2,2,2,1
66,2,1,1,1,1,4,1
57,11,1,1,1,1,4,1
60,11,1,1,1,1,4,2
65,11,1,1,1,1,4,1
53,2,3,3,2,2,2,1
69,2,1,1,1,1,4,2
40,2,1,1,1,1,2,2
49,2,1,1,1,1,2,1
61,10,1,1,1,1,4,1
80,2,1,1,1,1,4,2
56,2,1,1,1,1,2,1
55,11,1,1,1,1,4,1
56,2,3,3,3,3,3,1
52,2,1,1,1,1,4,2
66,2,1,1,1,1,4,1
60,10,1,1,1,1,3,2
55,11,1,1,1,1,4,1
62,11,1,1,1,1,4,1
77,2,1,1,1,1,2,1
57,11,3,2,2,2,4,1
56,11,1,1,1,1,4,1
58,2,1,1,1,1,4,1
51,2,1,1,1,1,4,1
76,10,1,1,1,1,4,1
75,2,2,2,3,1,2,2
31,11,1,1,1,1,3,2
50,2,1,1,1,1,2,1
59,2,2,2,2,2,3,1
46,2,3,3,3,3,3,2
48,2,1,1,1,1,4,1
59,2,2,2,1,1,2,1
64,2,1,1,1,1,4,1
49,2,1,1,1,1,2,1
78,2,1,1,1,1,3,1
78,2,1,1,1,1,3,1
70,2,1,1,1,1,4,1
55,2,1,1,1,1,4,2
54,11,1,1,1,1,2,1
80,2,1,1,1,1,1,2
76,2,1,1,1,1,4,1
63,2,1,1,1,1,3,1
