@relation RSN
@attribute F1 numeric
@attribute F2 {1,2,3,4}
@attribute F3 {1,2,3}
@attribute F4 {1,2}
@attribute F5 {1,2,3,4,5,6,7,8,9,10}
@attribute F6 numeric
@attribute pStage {1,2,3,4,5}
@attribute F8 {1,2,3,4,5,6,7,8,9}
@attribute F9 {1,2}
@attribute F10 {1,2}
@attribute F11 {1,2}
@attribute F12 {1,2}
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute F18 {1,2,3}
@attribute F19 {1,2,3}
@attribute F20 {1,2,3}
@attribute class {1,2}
@data
74,3,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2
56,3,3,2,1,2,3,1,2,2,2,2,1,1,1,1,4,2,2,2,1
53,4,2,2,1,2,5,6,2,1,2,1,3,2,3,3,2,1,2,2,2
65,2,1,2,9,11,5,6,2,1,2,2,1,1,1,1,4,2,2,2,1
51,4,2,2,2,2,5,6,2,1,2,1,3,3,2,2,3,1,2,1,2
73,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,3,1,3,2,1
58,1,1,2,2,2,1,3,2,2,2,1,1,1,1,1,4,3,3,3,1
72,1,3,2,9,2,5,6,2,1,2,1,3,3,3,3,4,2,2,2,2
55,1,3,2,3,2,3,3,2,2,2,2,1,1,1,1,4,2,2,3,2
73,4,2,2,2,2,4,1,2,2,2,2,1,1,1,1,2,2,2,2,2
78,3,1,2,2,2,4,1,1,1,2,1,1,1,1,1,1,2,2,2,1
59,1,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,2,2,2,1
73,2,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
69,3,3,2,9,2,5,6,1,1,2,1,1,1,1,1,3,1,3,1,2
81,3,1,2,2,2,5,6,2,1,2,1,3,3,3,1,4,2,2,2,2
58,4,2,2,4,11,5,6,2,1,2,1,3,2,2,2,4,2,2,2,1
57,2,1,2,3,2,3,3,1,1,2,1,2,2,1,1,3,2,2,2,1
62,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,3,3,3,1
64,4,2,2,2,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,1
56,1,1,2,9,2,1,1,2,2,2,1,1,1,1,1,3,2,2,2,1
32,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,3,2
52,1,1,2,9,2,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
66,1,1,2,2,2,3,1,1,1,2,1,1,1,1,1,3,2,2,2,2
66,1,1,2,2,2,3,1,1,1,2,1,1,1,1,1,3,2,2,2,2
78,3,1,2,2,2,5,6,2,1,2,1,2,2,3,1,4,2,2,2,2
47,1,1,2,9,2,5,6,2,2,2,1,1,1,1,1,4,2,2,2,1
52,1,1,2,1,2,2,1,1,1,2,1,3,3,2,2,2,2,2,2,1
55,1,1,1,3,2,1,1,2,2,2,1,1,1,1,1,3,2,2,1,1
54,3,1,2,2,2,1,1,1,1,2,1,2,2,2,1,4,2,2,2,1
46,3,1,2,2,2,4,1,1,1,2,1,1,1,1,1,2,2,2,2,2
56,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,4,2,2,3,1
66,2,3,2,2,2,4,7,1,1,2,1,1,1,1,1,4,2,2,2,1
57,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1
80,1,1,2,9,2,1,1,2,2,2,1,1,1,1,1,4,2,2,2,1
64,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,2
55,1,1,2,2,2,1,1,1,1,2,1,3,2,3,3,2,2,2,2,1
61,1,1,2,9,2,5,6,2,2,2,2,1,1,1,1,4,2,2,2,1
66,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,4,2,2,2,1
87,4,3,2,9,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
58,3,1,2,2,2,5,6,2,2,2,1,1,1,1,1,4,2,2,2,2
68,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,1
79,3,1,2,2,2,4,1,1,1,2,1,1,1,1,1,3,2,2,2,2
67,2,2,2,9,4,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
64,4,2,2,5,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,2
62,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,3,3,3,1
68,3,1,1,10,10,5,9,2,2,2,2,1,1,1,1,2,1,1,2,1
76,3,1,2,2,2,3,1,2,2,2,2,1,1,1,1,3,2,2,2,1
74,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,2,2,2,2,1
84,2,2,2,9,2,5,6,2,2,2,1,1,1,1,1,2,2,2,2,2
82,2,2,1,9,10,1,9,2,2,2,2,1,1,1,1,4,2,2,2,1
79,2,2,1,9,10,5,6,2,2,2,2,1,1,1,1,3,2,2,2,1
47,2,3,2,2,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
51,1,1,2,9,2,1,1,1,1,2,1,3,2,3,3,3,2,2,2,1
60,2,1,2,2,2,5,6,1,1,2,1,3,3,3,3,2,2,2,2,2
87,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,1
83,4,2,2,2,11,1,3,1,1,2,2,2,3,1,1,2,2,2,2,1
73,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,2,2,1
72,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,2,1,2,1,1
80,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,3,2,2,2,2
80,2,1,2,3,11,5,6,1,1,2,1,1,1,1,1,1,2,2,2,1
45,1,1,2,3,2,1,1,1,1,2,1,3,3,2,2,2,2,2,2,1
66,1,1,2,3,2,1,1,2,2,2,1,1,1,1,1,4,2,2,2,1
57,3,1,2,2,11,3,9,2,2,2,1,1,1,1,1,4,1,1,1,1
60,4,2,2,1,11,5,6,2,2,2,1,1,1,1,1,4,1,1,1,2
